SampleName,Camalexin (ng/mm),Cam.SE,Lesion Area (mm2),Les.SE
COL0G1E06,0,6.11595,4.854255,3.76642
COL0G1F06,0,6.11595,4.854255,3.76642
COL0G2E06,0,6.11595,4.854255,3.76642
COL0G2F06,0,6.11595,4.854255,3.76642
COL0G1E75,0,4.332392,6.212889,3.769748
COL0G1F75,0,4.332392,6.212889,3.769748
COL0G2F75,0,4.332392,6.212889,3.769748
NPR1G1E71,0,3.083794,3.376574,4.72022
NPR1G1F71,0,3.083794,3.376574,4.72022
NPR1G2E71,0,3.083794,3.376574,4.72022
NPR1G2F71,0,3.083794,3.376574,4.72022
COIL1G1E88,0,1.903546,8.228597,6.742837
COIL1G1F88,0,1.903546,8.228597,6.742837
COIL1G2E88,0,1.903546,8.228597,6.742837
COIL1G2F88,0,1.903546,8.228597,6.742837
COIL1G1E37,0,1.531762,19.731411,6.721015
COIL1G1F37,0,1.531762,19.731411,6.721015
COIL1G2E37,0,1.531762,19.731411,6.721015
COIL1G2F37,0,1.531762,19.731411,6.721015
COIL1G1E59,0,2.11503,53.718013,6.730401
COIL1G1F59,0,2.11503,53.718013,6.730401
COIL1G2E59,0,2.11503,53.718013,6.730401
COIL1G2F59,0,2.11503,53.718013,6.730401
COIL1G1E53,0,1.907029,49.89856,6.756544
COIL1G1F53,0,1.907029,49.89856,6.756544
COIL1G2E53,0,1.907029,49.89856,6.756544
COIL1G2F53,0,1.907029,49.89856,6.756544
COIL1G1E50,0,1.899251,29.114537,6.726318
COIL1G1F50,0,1.899251,29.114537,6.726318
COIL1G2E50,0,1.899251,29.114537,6.726318
COIL1G2F50,0,1.899251,29.114537,6.726318
COIL1G1E17,0,1.901018,30.492295,7.611379
COIL1G1F17,0,1.901018,30.492295,7.611379
COIL1G2E17,0,1.901018,30.492295,7.611379
COIL1G2F17,0,1.901018,30.492295,7.611379
COIL1G1F35,0,1.532075,43.022207,6.72198
COIL1G2E35,0,1.532075,43.022207,6.72198
COIL1G2F35,0,1.532075,43.022207,6.72198
COIL1G1E54,0,1.749306,62.290627,7.114959
COIL1G1F54,0,1.749306,62.290627,7.114959
COIL1G2E54,0,1.749306,62.290627,7.114959
COIL1G2F54,0,1.749306,62.290627,7.114959
COIL1G1E02,0,1.534861,22.043955,6.732638
COIL1G1F02,0,1.534861,22.043955,6.732638
COIL1G2E02,0,1.534861,22.043955,6.732638
COIL1G2F02,0,1.534861,22.043955,6.732638
COIL1G1E52,0,1.74566,68.466765,7.587015
COIL1G1F52,0,1.74566,68.466765,7.587015
COIL1G2E52,0,1.74566,68.466765,7.587015
COIL1G2F52,0,1.74566,68.466765,7.587015
COIL1G1E48,0.03643638,1.627036,67.633692,6.724402
COIL1G1F48,0.03643638,1.627036,67.633692,6.724402
COIL1G2E48,0.03643638,1.627036,67.633692,6.724402
COIL1G2F48,0.03643638,1.627036,67.633692,6.724402
COIL1G1E85,0.14602028,1.626452,12.13809,6.722794
COIL1G1F85,0.14602028,1.626452,12.13809,6.722794
COIL1G2E85,0.14602028,1.626452,12.13809,6.722794
COIL1G1E78,0.15333998,1.537368,40.686732,6.730009
COIL1G1F78,0.15333998,1.537368,40.686732,6.730009
COIL1G2E78,0.15333998,1.537368,40.686732,6.730009
COIL1G2F78,0.15333998,1.537368,40.686732,6.730009
COIL1G1E82,0.17092317,1.627381,43.113955,6.408428
COIL1G1F82,0.17092317,1.627381,43.113955,6.408428
COIL1G2E82,0.17092317,1.627381,43.113955,6.408428
COIL1G2F82,0.17092317,1.627381,43.113955,6.408428
COIL1G1E20,0.26917024,1.631118,49.023459,6.733092
COIL1G1F20,0.26917024,1.631118,49.023459,6.733092
COIL1G2E20,0.26917024,1.631118,49.023459,6.733092
COIL1G2F20,0.26917024,1.631118,49.023459,6.733092
COIL1G1E80,0.30392194,1.901549,32.783392,6.741735
COIL1G1F80,0.30392194,1.901549,32.783392,6.741735
COIL1G2E80,0.30392194,1.901549,32.783392,6.741735
COIL1G2F80,0.30392194,1.901549,32.783392,6.741735
COIL1G1E06,0.30951484,2.416287,3.342938,6.730325
COIL1G1F06,0.30951484,2.416287,3.342938,6.730325
COIL1G2E06,0.30951484,2.416287,3.342938,6.730325
COIL1G2F06,0.30951484,2.416287,3.342938,6.730325
COIL1G1E51,0.32800405,1.627401,67.21281,6.723843
COIL1G1F51,0.32800405,1.627401,67.21281,6.723843
COIL1G2E51,0.32800405,1.627401,67.21281,6.723843
COIL1G2F51,0.32800405,1.627401,67.21281,6.723843
COIL1G1E86,0.40238859,1.632917,51.762227,6.740732
COIL1G1F86,0.40238859,1.632917,51.762227,6.740732
COIL1G2E86,0.40238859,1.632917,51.762227,6.740732
COIL1G2F86,0.40238859,1.632917,51.762227,6.740732
COIL1G1E74,0.41782204,1.629928,39.477649,6.740461
COIL1G2E74,0.41782204,1.629928,39.477649,6.740461
COIL1G2F74,0.41782204,1.629928,39.477649,6.740461
COIL1G1E11,0.41970579,1.532099,38.812241,6.722059
COIL1G1F11,0.41970579,1.532099,38.812241,6.722059
COIL1G2E11,0.41970579,1.532099,38.812241,6.722059
COIL1G2F11,0.41970579,1.532099,38.812241,6.722059
COIL1G1E56,0.42108326,1.754488,60.689799,6.736395
COIL1G1F56,0.42108326,1.754488,60.689799,6.736395
COIL1G2E56,0.42108326,1.754488,60.689799,6.736395
COIL1G2F56,0.42108326,1.754488,60.689799,6.736395
COIL1G1E61,0.45782882,1.533604,47.436587,6.730194
COIL1G1F61,0.45782882,1.533604,47.436587,6.730194
COIL1G2E61,0.45782882,1.533604,47.436587,6.730194
COIL1G2F61,0.45782882,1.533604,47.436587,6.730194
COIL1G1E13,0.54035433,1.749828,50.952285,7.600216
COIL1G1F13,0.54035433,1.749828,50.952285,7.600216
COIL1G2E13,0.54035433,1.749828,50.952285,7.600216
COIL1G2F13,0.54035433,1.749828,50.952285,7.600216
COIL1G1E19,0.54751667,1.628038,33.283716,6.732176
COIL1G1F19,0.54751667,1.628038,33.283716,6.732176
COIL1G2E19,0.54751667,1.628038,33.283716,6.732176
COIL1G2F19,0.54751667,1.628038,33.283716,6.732176
COIL1G1E16,0.62129413,1.531775,31.018986,6.722003
COIL1G1F16,0.62129413,1.531775,31.018986,6.722003
COIL1G2E16,0.62129413,1.531775,31.018986,6.722003
COIL1G2F16,0.62129413,1.531775,31.018986,6.722003
COIL1G1E77,0.63149448,1.532762,51.56999,6.724207
COIL1G1F77,0.63149448,1.532762,51.56999,6.724207
COIL1G2E77,0.63149448,1.532762,51.56999,6.724207
COIL1G2F77,0.63149448,1.532762,51.56999,6.724207
COIL1G1E45,0.6328712,1.532926,35.18435,6.722632
COIL1G1F45,0.6328712,1.532926,35.18435,6.722632
COIL1G2E45,0.6328712,1.532926,35.18435,6.722632
COIL1G2F45,0.6328712,1.532926,35.18435,6.722632
COL0G1F88,0.6339161,4.329741,5.326137,3.770661
COL0G2E88,0.6339161,4.329741,5.326137,3.770661
COL0G2F88,0.6339161,4.329741,5.326137,3.770661
COIL1G1E31,0.73265845,1.534076,48.010925,6.729531
COIL1G1F31,0.73265845,1.534076,48.010925,6.729531
COIL1G2E31,0.73265845,1.534076,48.010925,6.729531
COIL1G2F31,0.73265845,1.534076,48.010925,6.729531
COIL1G1E73,0.77253107,1.629706,29.432802,6.730516
COIL1G1F73,0.77253107,1.629706,29.432802,6.730516
COIL1G2E73,0.77253107,1.629706,29.432802,6.730516
COIL1G2F73,0.77253107,1.629706,29.432802,6.730516
COIL1G1E04,0.78753026,1.532386,43.265976,6.723788
COIL1G1F04,0.78753026,1.532386,43.265976,6.723788
COIL1G2E04,0.78753026,1.532386,43.265976,6.723788
COIL1G2F04,0.78753026,1.532386,43.265976,6.723788
COIL1G1E10,0.82485448,1.536739,36.418731,6.736739
COIL1G1F10,0.82485448,1.536739,36.418731,6.736739
COIL1G2E10,0.82485448,1.536739,36.418731,6.736739
COIL1G2F10,0.82485448,1.536739,36.418731,6.736739
COIL1G1E57,0.84170291,1.74791,42.446208,6.729356
COIL1G1F57,0.84170291,1.74791,42.446208,6.729356
COIL1G2E57,0.84170291,1.74791,42.446208,6.729356
COIL1G2F57,0.84170291,1.74791,42.446208,6.729356
COIL1G1E49,0.8587006,1.626706,48.698805,6.723821
COIL1G1F49,0.8587006,1.626706,48.698805,6.723821
COIL1G2E49,0.8587006,1.626706,48.698805,6.723821
COIL1G2F49,0.8587006,1.626706,48.698805,6.723821
COIL1G1E09,0.85988318,1.543404,43.816967,6.754367
COIL1G1F09,0.85988318,1.543404,43.816967,6.754367
COIL1G2E09,0.85988318,1.543404,43.816967,6.754367
COIL1G2F09,0.85988318,1.543404,43.816967,6.754367
COIL1G1E26,0.87581025,1.532495,44.184041,6.724308
COIL1G1F26,0.87581025,1.532495,44.184041,6.724308
COIL1G2E26,0.87581025,1.532495,44.184041,6.724308
COIL1G2F26,0.87581025,1.532495,44.184041,6.724308
COIL1G1E43,0.92769011,1.532054,42.840472,6.7223
COIL1G1F43,0.92769011,1.532054,42.840472,6.7223
COIL1G2E43,0.92769011,1.532054,42.840472,6.7223
COIL1G2F43,0.92769011,1.532054,42.840472,6.7223
COIL1G1E41,0.92913448,1.533313,29.557555,6.727463
COIL1G1F41,0.92913448,1.533313,29.557555,6.727463
COIL1G2E41,0.92913448,1.533313,29.557555,6.727463
COIL1G2F41,0.92913448,1.533313,29.557555,6.727463
COIL1G1E46,0.98359906,1.749428,60.0173,6.736861
COIL1G1F46,0.98359906,1.749428,60.0173,6.736861
COIL1G2E46,0.98359906,1.749428,60.0173,6.736861
COIL1G2F46,0.98359906,1.749428,60.0173,6.736861
COIL1G1E93,1.10345935,1.630044,45.660426,6.729352
COIL1G1F93,1.10345935,1.630044,45.660426,6.729352
COIL1G2E93,1.10345935,1.630044,45.660426,6.729352
COIL1G2F93,1.10345935,1.630044,45.660426,6.729352
COIL1G1E72,1.1222138,1.53288,39.882806,6.727046
COIL1G1F72,1.1222138,1.53288,39.882806,6.727046
COIL1G2E72,1.1222138,1.53288,39.882806,6.727046
COIL1G2F72,1.1222138,1.53288,39.882806,6.727046
COIL1G1E32,1.14156205,1.639429,34.116404,7.129017
COIL1G1F32,1.14156205,1.639429,34.116404,7.129017
COIL1G2E32,1.14156205,1.639429,34.116404,7.129017
COIL1G2F32,1.14156205,1.639429,34.116404,7.129017
COIL1G1E89,1.14921522,1.746309,40.115169,7.109451
COIL1G1F89,1.14921522,1.746309,40.115169,7.109451
COIL1G2E89,1.14921522,1.746309,40.115169,7.109451
COIL1G2F89,1.14921522,1.746309,40.115169,7.109451
COIL1G1E18,1.17066769,1.534184,30.277847,6.728932
COIL1G1F18,1.17066769,1.534184,30.277847,6.728932
COIL1G2E18,1.17066769,1.534184,30.277847,6.728932
COIL1G2F18,1.17066769,1.534184,30.277847,6.728932
COIL1G1E39,1.19334521,1.532857,39.377947,6.724195
COIL1G1F39,1.19334521,1.532857,39.377947,6.724195
COIL1G2E39,1.19334521,1.532857,39.377947,6.724195
COIL1G2F39,1.19334521,1.532857,39.377947,6.724195
COIL1G1E60,1.21645491,1.628592,30.121435,6.732731
COIL1G1F60,1.21645491,1.628592,30.121435,6.732731
COIL1G2E60,1.21645491,1.628592,30.121435,6.732731
COIL1G2F60,1.21645491,1.628592,30.121435,6.732731
COIL1G1F21,1.25503087,1.532007,38.301206,6.722987
COIL1G2E21,1.25503087,1.532007,38.301206,6.722987
COIL1G2F21,1.25503087,1.532007,38.301206,6.722987
COIL1G1E05,1.25897527,1.628424,31.722579,7.10636
COIL1G1F05,1.25897527,1.628424,31.722579,7.10636
COIL1G2E05,1.25897527,1.628424,31.722579,7.10636
COIL1G2F05,1.25897527,1.628424,31.722579,7.10636
COIL1G1F23,1.34235909,1.533482,39.458954,6.728796
COIL1G2E23,1.34235909,1.533482,39.458954,6.728796
COIL1G2F23,1.34235909,1.533482,39.458954,6.728796
COIL1G1E01,1.3672085,1.633312,36.590004,7.124704
COIL1G1F01,1.3672085,1.633312,36.590004,7.124704
COIL1G2E01,1.3672085,1.633312,36.590004,7.124704
COIL1G2F01,1.3672085,1.633312,36.590004,7.124704
COIL1G1E14,1.40250515,1.905851,20.751707,7.115261
COIL1G1F14,1.40250515,1.905851,20.751707,7.115261
COIL1G2F14,1.40250515,1.905851,20.751707,7.115261
COIL1G1E92,1.44918675,1.53876,36.8573,6.747304
COIL1G1F92,1.44918675,1.53876,36.8573,6.747304
COIL1G2E92,1.44918675,1.53876,36.8573,6.747304
COIL1G2F92,1.44918675,1.53876,36.8573,6.747304
COIL1G1E29,1.46671163,1.904877,26.778925,6.733404
COIL1G1F29,1.46671163,1.904877,26.778925,6.733404
COIL1G2E29,1.46671163,1.904877,26.778925,6.733404
COIL1G2F29,1.46671163,1.904877,26.778925,6.733404
COIL1G1E63,1.51101477,1.745121,41.139726,7.12079
COIL1G1F63,1.51101477,1.745121,41.139726,7.12079
COIL1G2E63,1.51101477,1.745121,41.139726,7.12079
COIL1G2F63,1.51101477,1.745121,41.139726,7.12079
COIL1G1E22,1.51286977,1.53455,35.813768,6.732007
COIL1G1F22,1.51286977,1.53455,35.813768,6.732007
COIL1G2E22,1.51286977,1.53455,35.813768,6.732007
COIL1G2F22,1.51286977,1.53455,35.813768,6.732007
COIL1G1E30,1.5495792,1.627859,54.971859,6.725396
COIL1G1F30,1.5495792,1.627859,54.971859,6.725396
COIL1G2E30,1.5495792,1.627859,54.971859,6.725396
COIL1G2F30,1.5495792,1.627859,54.971859,6.725396
COIL1G1E69,1.56175762,1.903012,45.42961,7.115507
COIL1G1F69,1.56175762,1.903012,45.42961,7.115507
COIL1G2E69,1.56175762,1.903012,45.42961,7.115507
COIL1G2F69,1.56175762,1.903012,45.42961,7.115507
COIL1G1E68,1.61148152,1.629044,27.160635,6.737723
COIL1G1F68,1.61148152,1.629044,27.160635,6.737723
COIL1G2E68,1.61148152,1.629044,27.160635,6.737723
COIL1G2F68,1.61148152,1.629044,27.160635,6.737723
COIL1G1E71,1.90986816,1.908469,6.253169,6.747294
COIL1G1F71,1.90986816,1.908469,6.253169,6.747294
COIL1G2E71,1.90986816,1.908469,6.253169,6.747294
COIL1G2F71,1.90986816,1.908469,6.253169,6.747294
COIL1G1E44,1.95327507,1.625688,35.881073,6.721451
COIL1G1F44,1.95327507,1.625688,35.881073,6.721451
COIL1G2E44,1.95327507,1.625688,35.881073,6.721451
COIL1G2F44,1.95327507,1.625688,35.881073,6.721451
COIL1G1E971,1.9578716,1.630167,53.85586,6.730709
COIL1G1F972,1.9578716,1.630167,53.85586,6.730709
COIL1G2E971,1.9578716,1.630167,53.85586,6.730709
COIL1G2F971,1.9578716,1.630167,53.85586,6.730709
COL0G1E85,1.9980106,3.168711,9.688696,3.762282
COL0G1F85,1.9980106,3.168711,9.688696,3.762282
COL0G2E86,1.9980106,3.168711,9.688696,3.762282
COL0G2F85,1.9980106,3.168711,9.688696,3.762282
COIL1G1E28,2.02621996,1.535032,41.779129,6.730078
COIL1G1F28,2.02621996,1.535032,41.779129,6.730078
COIL1G2E28,2.02621996,1.535032,41.779129,6.730078
COIL1G2F28,2.02621996,1.535032,41.779129,6.730078
COIL1G1E15,2.03434987,1.906428,30.509718,8.248125
COIL1G1F15,2.03434987,1.906428,30.509718,8.248125
COIL1G2E15,2.03434987,1.906428,30.509718,8.248125
COIL1G2F15,2.03434987,1.906428,30.509718,8.248125
COIL1G1E79,2.04237313,1.629176,23.527567,6.731699
COIL1G1F79,2.04237313,1.629176,23.527567,6.731699
COIL1G2E79,2.04237313,1.629176,23.527567,6.731699
COIL1G2F79,2.04237313,1.629176,23.527567,6.731699
COL0G1E82,2.2163176,2.673359,18.985216,3.5907
COL0G1F82,2.2163176,2.673359,18.985216,3.5907
COL0G2E82,2.2163176,2.673359,18.985216,3.5907
COL0G2F82,2.2163176,2.673359,18.985216,3.5907
COIL1G1E62,2.25914404,1.906803,36.82948,7.118581
COIL1G1F62,2.25914404,1.906803,36.82948,7.118581
COIL1G2E62,2.25914404,1.906803,36.82948,7.118581
COIL1G2F62,2.25914404,1.906803,36.82948,7.118581
COIL1G1F47,2.28698229,1.63017,51.996311,7.116011
COIL1G2E47,2.28698229,1.63017,51.996311,7.116011
COIL1G2F47,2.28698229,1.63017,51.996311,7.116011
COIL1G1E64,2.34966913,1.752529,40.378112,7.125622
COIL1G1F64,2.34966913,1.752529,40.378112,7.125622
COIL1G2E64,2.34966913,1.752529,40.378112,7.125622
COIL1G2F64,2.34966913,1.752529,40.378112,7.125622
COIL1G1F25,2.4004419,1.536736,23.391037,6.738289
COIL1G2E25,2.4004419,1.536736,23.391037,6.738289
COIL1G2F25,2.4004419,1.536736,23.391037,6.738289
COIL1G1E91,2.44205849,1.533057,35.479162,6.723707
COIL1G1F91,2.44205849,1.533057,35.479162,6.723707
COIL1G2E91,2.44205849,1.533057,35.479162,6.723707
COIL1G2F91,2.44205849,1.533057,35.479162,6.723707
COIL1G1E08,2.48983864,1.628694,35.247448,7.115496
COIL1G1F08,2.48983864,1.628694,35.247448,7.115496
COIL1G2E08,2.48983864,1.628694,35.247448,7.115496
COIL1G2F08,2.48983864,1.628694,35.247448,7.115496
COIL1G1E67,2.50501199,1.633307,41.267593,6.738665
COIL1G2E67,2.50501199,1.633307,41.267593,6.738665
COIL1G2F67,2.50501199,1.633307,41.267593,6.738665
COIL1G1E07,2.5532342,1.545088,31.812842,6.758589
COIL1G1F07,2.5532342,1.545088,31.812842,6.758589
COIL1G2E07,2.5532342,1.545088,31.812842,6.758589
COIL1G2F07,2.5532342,1.545088,31.812842,6.758589
COIL1G1E03,2.57540455,1.535886,34.14665,6.735304
COIL1G1F03,2.57540455,1.535886,34.14665,6.735304
COIL1G2E03,2.57540455,1.535886,34.14665,6.735304
COIL1G2F03,2.57540455,1.535886,34.14665,6.735304
COIL1G1E90,2.62333487,1.631636,25.728996,7.118975
COIL1G1F90,2.62333487,1.631636,25.728996,7.118975
COIL1G2E90,2.62333487,1.631636,25.728996,7.118975
COIL1G2F90,2.62333487,1.631636,25.728996,7.118975
COIL1G1E40,2.63732052,1.630753,37.736088,7.116802
COIL1G1F40,2.63732052,1.630753,37.736088,7.116802
COIL1G2E40,2.63732052,1.630753,37.736088,7.116802
COL0G1E71,2.6569186,2.896348,5.737855,3.772797
COL0G1F71,2.6569186,2.896348,5.737855,3.772797
COL0G2E71,2.6569186,2.896348,5.737855,3.772797
COL0G2F71,2.6569186,2.896348,5.737855,3.772797
COIL1G1E34,2.74368351,1.536777,36.396886,6.739574
COIL1G1F34,2.74368351,1.536777,36.396886,6.739574
COIL1G2F34,2.74368351,1.536777,36.396886,6.739574
NPR1G1E85,2.7663269,2.479439,12.628059,4.706784
NPR1G1F85,2.7663269,2.479439,12.628059,4.706784
NPR1G2E85,2.7663269,2.479439,12.628059,4.706784
NPR1G2F85,2.7663269,2.479439,12.628059,4.706784
COIL1G1E65,2.91694465,1.744875,38.601734,6.721873
COIL1G1F65,2.91694465,1.744875,38.601734,6.721873
COIL1G2E65,2.91694465,1.744875,38.601734,6.721873
COIL1G2F65,2.91694465,1.744875,38.601734,6.721873
COIL1G1E81,2.99778037,1.534758,48.117892,7.120992
COIL1G1F81,2.99778037,1.534758,48.117892,7.120992
COIL1G2E81,2.99778037,1.534758,48.117892,7.120992
COIL1G2F81,2.99778037,1.534758,48.117892,7.120992
COL0G1E14,3.042948,2.515749,10.056544,3.765101
COL0G1F14,3.042948,2.515749,10.056544,3.765101
COL0G2F14,3.042948,2.515749,10.056544,3.765101
COIL1G1E12,3.11356226,1.532345,32.878054,6.724615
COIL1G1F12,3.11356226,1.532345,32.878054,6.724615
COIL1G2E12,3.11356226,1.532345,32.878054,6.724615
COIL1G2F12,3.11356226,1.532345,32.878054,6.724615
COIL1G1E33,3.38839385,1.532616,27.886443,6.722744
COIL1G1F33,3.38839385,1.532616,27.886443,6.722744
COIL1G2E33,3.38839385,1.532616,27.886443,6.722744
COIL1G2F33,3.38839385,1.532616,27.886443,6.722744
COIL1G1E76,3.48088969,1.535491,32.324283,6.733694
COIL1G1F76,3.48088969,1.535491,32.324283,6.733694
COIL1G2E76,3.48088969,1.535491,32.324283,6.733694
COIL1G2F76,3.48088969,1.535491,32.324283,6.733694
NPR1G1E69,3.6485008,2.486593,19.303772,4.978404
NPR1G1F69,3.6485008,2.486593,19.303772,4.978404
NPR1G2E69,3.6485008,2.486593,19.303772,4.978404
NPR1G2F69,3.6485008,2.486593,19.303772,4.978404
COIL1G1E58,3.6982831,1.755082,35.428605,6.75218
COIL1G1F58,3.6982831,1.755082,35.428605,6.75218
COIL1G2E58,3.6982831,1.755082,35.428605,6.75218
COIL1G2F58,3.6982831,1.755082,35.428605,6.75218
NPR1G1E48,3.848978,2.077923,38.228397,4.708229
NPR1G1F48,3.848978,2.077923,38.228397,4.708229
NPR1G2E48,3.848978,2.077923,38.228397,4.708229
NPR1G2F48,3.848978,2.077923,38.228397,4.708229
NPR1G1E75,3.8538045,3.071099,6.192991,4.715815
NPR1G1F75,3.8538045,3.071099,6.192991,4.715815
NPR1G2E75,3.8538045,3.071099,6.192991,4.715815
NPR1G2F75,3.8538045,3.071099,6.192991,4.715815
COIL1G1F24,3.88068512,1.536992,25.105082,6.742267
