Sample,Isolate
1,1.01.01
2,1.01.02
3,1.01.03
4,1.01.04
5,1.01.06
6,1.01.15
7,1.02.01
8,1.02.02
9,1.02.03
10,1.02.04
11,1.02.06
12,1.02.13
13,1.02.15
14,1.02.16
15,1.02.17
16,1.02.18
17,1.02.19
18,1.02.20
19,1.03.02
20,1.03.04
21,1.03.12
22,1.03.16
23,1.03.18
24,1.03.19
25,1.03.20
26,1.03.22
27,1.03.23
28,1.04.01
29,1.04.02
30,1.04.03
31,1.04.04
32,1.04.05
33,1.04.12
34,1.04.15
35,1.04.17
36,1.04.19
37,1.04.20
38,1.04.21
39,1.04.25
40,1.05.04
41,1.05.11
42,1.05.14
43,1.05.17
44,1.05.22
45,1.05.24
46,2.04.03
47,2.04.04
48,2.04.08
49,2.04.09
50,2.04.11
51,2.04.12
52,2.04.14
53,2.04.17
54,2.04.18
55,2.04.20
56,2.04.21
57,Acacia
58,Apple 404
59,Apple 517
60,Ausubel
61,B05.10
62,BMM
63,BPA 1
64,Davis Navel
65,Esparato Fresa
66,Fd1
67,Fd2
68,Fresa 525
69,Fresa S.D.
70,Gallo 1
71,Gallo 2
72,Geranium
73,Grape
74,Katie tomato
75,Kern A2
76,Kern B1
77,Kern B2
78,KGB1
79,KGB2
80,MEA PGG
81,Mex-03
82,Molly
83,Navel
84,Noble Rot
85,Peachy
86,Pepper
87,Pepper sub
88,Philo Menlo
89,Rasp
90,Rose
91,Supersteak
92,Triple 3 (T3)
93,Triple 7 (T7)
94,UK razz
95,94.4
96,2004
97,1.05.16
98,Neg. Control